"id","name","primary_cause","source_url"
"1","ABS wheel speed sensor harness chafe","Possible damage or chafing of the ABS wheel speed sensor wiring harness.","nhtsa_abs_harness_chafe"
"2","IPMA camera-to-module connection fault","Possible connection problem between the IPMA camera and the IPMA control module.","nhtsa_ipma_connection_fault"
"3","Coolant intrusion into cylinder bore","Possible coolant intrusion into a cylinder bore, which may cause misfires and overheating.","nhtsa_coolant_intrusion"
"4","Reductant harness water intrusion","Possible water intrusion into the reductant system wiring harness connectors.","nhtsa_reductant_harness_water"
"5","Front axle disconnect actuator/intermediate shaft fault","Possible fault in the front axle disconnect actuator or intermediate shaft.","nhtsa_front_axle_disconnect"
"6","WIF sensor connector C3080 water intrusion","Possible water intrusion into connector C3080 at the water-in-fuel sensor.","nhtsa_wif_sensor_c3080"
"7","Connector C1050 water intrusion","Possible water intrusion into connector C1050, which may trigger multiple communication and sensor faults.","nhtsa_connector_c1050"
"8","NOx sensor module and harness moisture/corrosion","Possible moisture or corrosion in the NOx sensor module or its wiring harness.","nhtsa_nox_sensor_moisture"
"9","Engine compartment water entry over powertrain components","Possible water entry into the engine compartment over powertrain components.","nhtsa_engine_water_entry"
"10","Low 12V battery state of charge multi-DTC pattern","Low 12V battery state of charge, which may cause multiple seemingly unrelated diagnostic trouble codes.","nhtsa_low_12v_battery"
"11","Battery junction box water intrusion pattern","Possible water or moisture intrusion into the battery junction box.","nhtsa_battery_junction_box"
"12","Multi-cylinder misfire pattern","Multiple cylinder misfire detected across several cylinders.","nhtsa_multi_cylinder_misfire"
"13","Timing chain / cam-crank correlation pattern","Possible timing chain slack or camshaft/crankshaft correlation problem.","nhtsa_timing_chain_pattern"
"14","EVAP leak / purge fault pattern","Possible EVAP system leak or purge flow problem.","nhtsa_evap_leak_pattern"
"15","EVAP dust intrusion / vent blockage pattern","Possible dust contamination in the EVAP system, canister, or vent solenoid.","nhtsa_evap_dust_pattern"
"16","Lean mixture / vacuum leak pattern","Possible unmetered air intake or leak in the intake/vacuum system.","nhtsa_lean_mixture_pattern"
"17","Catalyst efficiency pattern","Reduced catalytic converter efficiency or a catalyst monitor related problem.","nhtsa_catalyst_efficiency_pattern"
"18","Turbo underboost / boost leak pattern","Possible boost pressure problem, charge air leak, or turbo control issue.","nhtsa_turbo_underboost_pattern"
"19","High-speed CAN communication fault pattern","Possible communication problem between control modules, connectors, or the data bus.","nhtsa_can_communication_pattern"
"20","NOx / SCR aftertreatment pattern","Possible NOx sensor problem or SCR catalyst efficiency problem.","nhtsa_nox_scr_pattern"